,target,text,num_characters,num_words,num_sentences,transformed_text,word_tokenize,pos,verbs,adjectives,nouns
0,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,24,2,go jurong point crazi avail bugi n great world la e buffet cine got amor wat,"['go', 'jurong', 'point', 'crazi', 'avail', 'bugi', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'got', 'amor', 'wat']","[('go', 'VB'), ('jurong', 'JJ'), ('point', 'NN'), ('crazi', 'NN'), ('avail', 'NN'), ('bugi', 'NN'), ('n', 'RB'), ('great', 'JJ'), ('world', 'NN'), ('la', 'NN'), ('e', 'VBP'), ('buffet', 'JJ'), ('cine', 'NN'), ('got', 'VBD'), ('amor', 'JJ'), ('wat', 'NN')]","['go', 'e', 'got']","['jurong', 'great', 'buffet', 'amor']","['point', 'crazi', 'avail', 'bugi', 'world', 'la', 'cine', 'wat']"
1,ham,Ok lar... Joking wif u oni...,29,8,2,ok lar joke wif u oni,"['ok', 'lar', 'joke', 'wif', 'u', 'oni']","[('ok', 'JJ'), ('lar', 'JJ'), ('joke', 'NN'), ('wif', 'NN'), ('u', 'JJ'), ('oni', 'NN')]",[],"['ok', 'lar', 'u']","['joke', 'wif', 'oni']"
2,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,37,2,free entri 2 wkli comp win fa cup final tkt 21st may text fa 87121 receiv entri question std txt rate c appli 08452810075over18,"['free', 'entri', '2', 'wkli', 'comp', 'win', 'fa', 'cup', 'final', 'tkt', '21st', 'may', 'text', 'fa', '87121', 'receiv', 'entri', 'question', 'std', 'txt', 'rate', 'c', 'appli', '08452810075over18']","[('free', 'JJ'), ('entri', 'NN'), ('2', 'CD'), ('wkli', 'NN'), ('comp', 'NN'), ('win', 'VBP'), ('fa', 'JJ'), ('cup', 'NN'), ('final', 'JJ'), ('tkt', 'NN'), ('21st', 'CD'), ('may', 'MD'), ('text', 'VB'), ('fa', 'NN'), ('87121', 'CD'), ('receiv', 'NN'), ('entri', 'JJ'), ('question', 'NN'), ('std', 'VBD'), ('txt', 'JJ'), ('rate', 'NN'), ('c', 'NNS'), ('appli', 'VBP'), ('08452810075over18', 'CD')]","['win', 'text', 'std', 'appli']","['free', 'fa', 'final', 'entri', 'txt']","['entri', 'wkli', 'comp', 'cup', 'tkt', 'fa', 'receiv', 'question', 'rate', 'c']"
3,ham,U dun say so early hor... U c already then say...,49,13,1,u dun say earli hor u c alreadi say,"['u', 'dun', 'say', 'earli', 'hor', 'u', 'c', 'alreadi', 'say']","[('u', 'JJ'), ('dun', 'NNS'), ('say', 'VBP'), ('earli', 'JJ'), ('hor', 'NN'), ('u', 'JJ'), ('c', 'JJ'), ('alreadi', 'NNS'), ('say', 'VBP')]","['say', 'say']","['u', 'earli', 'u', 'c']","['dun', 'hor', 'alreadi']"
4,ham,"Nah I don't think he goes to usf, he lives around here though",61,15,1,nah think goe usf live around though,"['nah', 'think', 'goe', 'usf', 'live', 'around', 'though']","[('nah', 'RB'), ('think', 'VBP'), ('goe', 'JJ'), ('usf', 'JJ'), ('live', 'VBP'), ('around', 'IN'), ('though', 'IN')]","['think', 'live']","['goe', 'usf']",[]
5,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, �1.50 to rcv",147,39,4,freemsg hey darl 3 week word back like fun still tb ok xxx std chg send rcv,"['freemsg', 'hey', 'darl', '3', 'week', 'word', 'back', 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chg', 'send', 'rcv']","[('freemsg', 'NN'), ('hey', 'NN'), ('darl', 'VBD'), ('3', 'CD'), ('week', 'NN'), ('word', 'NN'), ('back', 'RB'), ('like', 'IN'), ('fun', 'NN'), ('still', 'RB'), ('tb', 'VBZ'), ('ok', 'JJ'), ('xxx', 'NNP'), ('std', 'NN'), ('chg', 'NN'), ('send', 'VBP'), ('rcv', 'NN')]","['darl', 'tb', 'send']",['ok'],"['freemsg', 'hey', 'week', 'word', 'fun', 'xxx', 'std', 'chg', 'rcv']"
6,ham,Even my brother is not like to speak with me. They treat me like aids patent.,77,18,2,even brother like speak treat like aid patent,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent']","[('even', 'RB'), ('brother', 'RBR'), ('like', 'IN'), ('speak', 'JJ'), ('treat', 'NN'), ('like', 'IN'), ('aid', 'NN'), ('patent', 'NN')]",[],['speak'],"['treat', 'aid', 'patent']"
7,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,31,2,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun,"['per', 'request', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', 'set', 'callertun', 'caller', 'press', '9', 'copi', 'friend', 'callertun']","[('per', 'IN'), ('request', 'NN'), ('mell', 'NN'), ('oru', 'IN'), ('minnaminungint', 'NN'), ('nurungu', 'NNS'), ('vettam', 'VBP'), ('set', 'VBN'), ('callertun', 'JJ'), ('caller', 'NN'), ('press', 'NN'), ('9', 'CD'), ('copi', 'NN'), ('friend', 'NN'), ('callertun', 'NN')]","['vettam', 'set']",['callertun'],"['request', 'mell', 'minnaminungint', 'nurungu', 'caller', 'press', 'copi', 'friend', 'callertun']"
8,spam,WINNER!! As a valued network customer you have been selected to receivea �900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,157,32,5,winner valu network custom select receivea prize reward claim call claim code kl341 valid 12 hour,"['winner', 'valu', 'network', 'custom', 'select', 'receivea', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'kl341', 'valid', '12', 'hour']","[('winner', 'NN'), ('valu', 'NN'), ('network', 'NN'), ('custom', 'NN'), ('select', 'NN'), ('receivea', 'NN'), ('prize', 'VB'), ('reward', 'JJ'), ('claim', 'NN'), ('call', 'NN'), ('claim', 'NN'), ('code', 'NN'), ('kl341', 'VBD'), ('valid', 'JJ'), ('12', 'CD'), ('hour', 'NN')]","['prize', 'kl341']","['reward', 'valid']","['winner', 'valu', 'network', 'custom', 'select', 'receivea', 'claim', 'call', 'claim', 'code', 'hour']"
9,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,31,3,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030,"['mobil', '11', 'month', 'u', 'r', 'entitl', 'updat', 'latest', 'colour', 'mobil', 'camera', 'free', 'call', 'mobil', 'updat', 'co', 'free', '08002986030']","[('mobil', 'RB'), ('11', 'CD'), ('month', 'NN'), ('u', 'JJ'), ('r', 'NN'), ('entitl', 'NN'), ('updat', 'JJ'), ('latest', 'JJS'), ('colour', 'NN'), ('mobil', 'NN'), ('camera', 'NN'), ('free', 'JJ'), ('call', 'NN'), ('mobil', 'NN'), ('updat', 'JJ'), ('co', 'NN'), ('free', 'JJ'), ('08002986030', 'CD')]",[],"['u', 'updat', 'latest', 'free', 'updat', 'free']","['month', 'r', 'entitl', 'colour', 'mobil', 'camera', 'call', 'mobil', 'co']"
